Title,Year Released,Media Type,Movie Duration,Audience Rating,Audience Vote Count,Metacritic Score,Plot Description
1. Kalki 2898 AD,2024,MOVIE,3h,7.7,38K,65,"A modern-day avatar of Vishnu, a Hindu god, who is believed to have descended to earth to protect the world from evil forces."
2. Mirzapur,2018–,TV SERIES,NA,8.5,86K,NA,A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.
3. Kill,2023,MOVIE,1h 45m,8.0,5.6K,74,"During a train trip to New Delhi, a pair of commandos face an army of invading bandits."
4. Wild Wild Punjab,2024,MOVIE,1h 49m,6.6,11K,NA,"Khanna has had a breakup. He's upset, but he has friends like Arora, Jain and Honey paa'ji who encourage him to face this breakup head-on and move on. They embark on a trip across Punjab to help Khanna find the closure he desires."
5. Srikanth,2024,MOVIE,2h 14m,7.5,9.2K,NA,"Blind Srikanth gets into MIT, founds Bollant Industries. Pursues goals for visually impaired while facing entrepreneurial challenges, navigating personal sacrifices. Highlights obstacles overcome by the blind in academics and business."
6. Indian 2,2024,MOVIE,3h,6.1,12K,NA,"Senapathy, an ex-freedom fighter turned vigilante who fights against corruption. Senapathy returns to the country to aid a young man who has been exposing corrupt politicians in the country through videos on the internet."
7. Maharaj,2024,MOVIE,2h 11m,6.5,9.2K,NA,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior."
8. 12th Fail,2023,MOVIE,2h 27m,8.9,122K,NA,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.
9. Animal,2023,MOVIE,3h 24m,6.2,95K,33,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.
10. Laapataa Ladies,2023,MOVIE,2h 2m,8.5,36K,NA,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments."
11. Chandu Champion,2024,MOVIE,2h 22m,8.3,24K,NA,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.
12. Sarfira,2024,MOVIE,2h 35m,8.9,6.1K,NA,"A man fights to make his dream of creating a low cost airline a reality, facing opposition from devious competitive airline owners who threaten his business and his passengers' safety."
13. Panchayat,2020–,TV SERIES,NA,9.0,95K,NA,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh."
14. Maidaan,2024,MOVIE,3h 1m,8.0,19K,NA,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football."
15. RRR,2022,MOVIE,3h 7m,7.8,169K,83,A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India.
16. Sipahi,2024,MOVIE,1h 2m,8.4,14K,NA,"Agent Korkut Ali Türkoglu, trained by the National Intelligence Organization, uncovers crucial information about plans concerning Turkey."
17. Murder in Mahim,2024–,TV SERIES,NA,8.0,38K,NA,"Set against the backdrop of a horrible murder at Mahim station, follows Peter's involvement in this diabolical inquiry. The stakes rise when his own son, Sunil, becomes a suspect in the case."
18. Kakuda,2024,MOVIE,1h 56m,5.7,5K,NA,"This horror-comedy film follows a town trapped in time by a curse and 3 of its inhabitants face a ghost that makes them question superstition, tradition and love."
19. Pixels,2015,MOVIE,1h 45m,5.6,161K,27,"When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games."
20. Kota Factory,2019–2021,TV SERIES,NA,9.0,84K,NA,"In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life."
21. Extraction,2020,MOVIE,1h 56m,6.8,267K,56,"Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord."
22. Sapne Vs Everyone,2023–,TV SERIES,NA,9.4,68K,NA,"Two obsessive dreamers collide with the resistance of expectations, morality and each other."
23. The Goat Life,2024,MOVIE,2h 53m,8.6,7.3K,NA,"The real-life incident of an Indian migrant worker, Najeeb Muhammad, who goes to Saudi Arabia to earn money. However, in a twist of fate, he finds himself living a slave-like existence, herding goats in the middle of the desert."
24. Slumdog Millionaire,2008,MOVIE,2h,8.0,881K,84,"A teenager from the slums of Mumbai becomes a contestant on the show 'Kaun Banega Crorepati?' When interrogated under suspicion of cheating, he revisits his past, revealing how he had all the answers."
25. Shaitaan,2024,MOVIE,2h 12m,6.6,48K,NA,"A family's getaway turns terrifying when an intruder possesses the teen daughter's body, putting her at the mercy of his increasingly sinister commands."
26. Pill,2024–,TV SERIES,NA,8.5,2.7K,NA,"Whistle blowers expose a corrupt nexus of pharma giants, middlemen, and doctors responsible for unethical drug proliferation in India. Can they overcome the powerful opposition?"
27. Babuji,2023,TV SERIES,NA,6.8,212,NA,The plot revolves around the middle aged man who is also the father-in-law. New set of feelings unfolds and unexpected romance happens.
28. Fighter,2024,MOVIE,2h 46m,6.2,47K,63,A reckless yet brilliant squadron leader and his team of elite fighter pilots face mortal dangers and inner demons as they unite for a deadly mission.
29. 36 Days,2024–,TV SERIES,NA,5.0,168,NA,"Led by an ensemble cast, '36 Days' is a crime thriller which takes you through a twisted maze of lies, deceit, love and intrigue. Relationships and people are unmasked and exposed, and secrets come tumbling out of the closet."
30. Rautu Ka Raaz,2024,MOVIE,1h 54m,6.4,1.1K,NA,"After the mysterious death of a warden of Sevadham school, it is up to inspector Negi who suffers from PTSD to solve the high-profile investigation which leads him to disturbing facts."
31. Life of Pi,2012,MOVIE,2h 7m,7.9,671K,79,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
32. Tumbbad,2018,MOVIE,1h 44m,8.2,60K,NA,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
33. Lion,2016,MOVIE,1h 58m,8.0,253K,69,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
34. 3 Idiots,2009,MOVIE,2h 50m,8.4,439K,67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
35. Commander Karan Saxena,2024–,TV SERIES,NA,8.2,1.3K,NA,A RAW agent Commander Karan Saxena who has to unravel a high-stakes mystery which includes a political angle and will show betrayal.
36. Heeramandi: The Diamond Bazaar,2024–,TV SERIES,NA,6.4,27K,NA,Sanjay Leela Bhansali brings his majestic signature flair to stories of love and betrayal in the lives of courtesans in pre-independence India.
37. Dangal,2016,MOVIE,2h 41m,8.3,214K,NA,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
38. Aspirants,2021–,TV SERIES,NA,9.2,313K,NA,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.
39. Dunki,2023,MOVIE,2h 40m,6.6,76K,NA,"When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission."
40. Madgaon Express,2024,MOVIE,2h 23m,7.1,36K,NA,The journey of three childhood friends who embark on a trip to Goa that goes completely off-track
41. Bad Cop,2024–,TV SERIES,NA,6.4,259,NA,"Karan, a fierce cop trying to chase down Kazbe a villain more powerful and deadly than him while simultaneously managing his personal relationships."
42. Paatal Lok,2020–,TV SERIES,NA,8.1,65K,NA,A down-and-out cop lands the case of a lifetime when four suspects are nabbed in the assassination attempt of a journalist. The pursuit leads him to 'Paatal Lok' and to shocking discoveries in the four suspects' pasts.
43. Teri Baaton Mein Aisa Uljha Jiya,2024,MOVIE,2h 21m,6.3,51K,NA,"Aryan is not able to find a perfect life partner. He meets a perfect girl, Sifra, during an official assignment in the US and falls in love with her only to discover later that it's an impossible love story."
44. Jawan,2023,MOVIE,2h 49m,7.0,98K,NA,A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion.
45. The Family Man,2019–,TV SERIES,NA,8.7,100K,NA,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
46. Bad Newz,2024,MOVIE,2h 22m,NA,NA,NA,"A crazy laugh riot which will show the outcomes of two sophisticated Punjabi men and a Christian-Hindu girl. One of the men has a one night stand with the girl and somehow, craziness happens when she is pregnant unexpectedly."
47. Showtime,2024–,TV SERIES,NA,6.0,745,NA,Features the power struggles and off-camera fights occurring in the backstage areas of Bollywood.
48. Article 370,2024,MOVIE,2h 38m,7.9,21K,NA,"Ahead of a major constitutional decision, special agent Zooni Haksar is tasked with a secret mission to quell violence in a conflict-ridden region."
49. Do Aur Do Pyaar,2024,MOVIE,2h 20m,6.4,6K,NA,"A couple on the brink of a breakup are cheating on each other with two sexy outsiders. Whilst they're waiting to reveal their secret and go their separate ways, life has other plans for them."
50. Bade Miyan Chote Miyan,2024,MOVIE,2h 43m,4.1,38K,NA,Two elite soldiers with troubled pasts are enlisted for a daring mission when a deadly masked villain threatens India's defenses.
51. Sacred Games,2018–2019,TV SERIES,NA,8.5,94K,NA,"A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm."
52. Crew,2024,MOVIE,1h 58m,5.9,35K,NA,Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.
53. The BFG,2016,MOVIE,1h 57m,6.3,94K,66,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
54. The Darjeeling Limited,2007,MOVIE,1h 31m,7.2,218K,67,"A year after their father's funeral, three brothers travel across India by train in an attempt to bond with each other."
55. Farzi,2023–,TV SERIES,NA,8.4,47K,NA,"An artist who gets pulled into the murky high stakes of a con job and a fiery task force officer on the mission to rid the country of his menaces in a fast-paced, edgy one-of-a-kind thriller."
56. Gullak,2019–,TV SERIES,NA,9.1,24K,NA,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family."
57. Gandhi,1982,MOVIE,3h 11m,8.0,241K,79,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.
58. The Devil Inside,2021,TV SERIES,NA,3.7,248,NA,"Smitten by his employee's new bride, a rich boss offers a hefty amount of money to sleep with her."
59. PK,2014,MOVIE,2h 33m,8.1,203K,NA,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religious views on people.
60. Weapon,2024,MOVIE,2h,8.8,5.2K,NA,"Agni a YouTuber who is a dedicated environmentalist is searching for a superhuman (Mithran), to shoot and add as content for his channel. The journey is full of twists and turns as he is not the only one searching for him."
61. Special OPS,2020–,TV SERIES,NA,8.6,38K,NA,"The story through the eyes of Himmat Singh is based on the inspiration was taken from Nineteen Years of nationally significant events, several espionage missions were undertaken by India in the last two decades."
62. Kaala Paani,2023–,TV SERIES,NA,8.0,10K,NA,"When a mysterious illness descends upon the Andaman and Nicobar Islands, a desperate fight for survival collides with a race to find a cure."
63. The Night Manager,2023–,TV SERIES,NA,7.6,15K,NA,"Follows Shaan Sengupta, an ex-soldier, who must infiltrate an arms dealer's inner circle to bring down his empire of war."
